Energy,Fe foil,Fe2O3,Fe3O4,FeO
7964.965,1.0038899,0.98049113,0.98496985,0.99645648
7970.667,1.0041989,0.97914985,0.98461458,0.9961921
7976.388,1.0047121,0.9778041,0.98425812,0.99573025
7982.128,1.0047567,0.97645389,0.98390047,0.99558569
7987.887,1.0047473,0.9750992,0.98354165,0.99527863
7993.665,1.0039494,0.97374005,0.98318164,0.99495166
7999.462,1.0040814,0.97237642,0.98282044,0.99461899
8005.278,1.0037625,0.97100833,0.98245806,0.99422565
8011.114,1.0035153,0.96963553,0.98209444,0.99385327
8016.968,1.0034371,0.9682585,0.98172969,0.99353332
8022.841,1.0034042,0.966877,0.98136376,0.99307823
8028.733,1.0029201,0.96549103,0.98099665,0.99253935
8034.644,1.0026882,0.96410059,0.98062835,0.9920468
8040.575,1.0019256,0.96270544,0.98025881,0.99162033
8046.524,1.0013576,0.96130606,0.97988814,0.9911922
8052.493,1.0012479,0.95990198,0.97951623,0.99068943
8058.48,1.0006892,0.95849366,0.9791432,0.99018342
8064.486,1.0001663,0.95708087,0.97876898,0.98966328
8070.512,0.99998536,0.95566338,0.97839352,0.98923629
8076.556,0.99952716,0.95424165,0.97801693,0.98862118
8082.62,0.99924175,0.95281522,0.9776391,0.98813387
8088.702,0.99933216,0.95138456,0.97726015,0.98789177
8094.803,0.99925557,0.94994943,0.97688001,0.98767474
8100.924,0.99908403,0.94850959,0.97649863,0.98745701
8107.063,0.99946495,0.94706551,0.97611613,0.98723864
8113.222,0.99927931,0.94561674,0.97573238,0.98701955
8119.399,0.99873195,0.94416373,0.97534751,0.98679983
8125.596,0.99849747,0.94270601,0.97496139,0.98657939
8131.812,0.99846102,0.94124382,0.97457409,0.98635828
8138.046,0.99828949,0.93977741,0.97418566,0.98613653
8144.3,0.99743888,0.93830628,0.97379599,0.98591407
8150.573,0.9978,0.93683069,0.97340514,0.98569093
8156.865,0.99759798,0.93535062,0.97301311,0.98546711
8163.175,0.9967056,0.93386633,0.97261995,0.98524266
8169.505,0.99656739,0.93237733,0.97222554,0.98501749
8175.853,0.99718064,0.93088409,0.97183002,0.98479168
8182.222,0.99675572,0.92938592,0.97143318,0.98456513
8188.608,0.99555466,0.92788374,0.97103529,0.98433797
8195.014,0.99523603,0.92637686,0.97063615,0.9841101
8201.438,0.99486889,0.92486575,0.97023589,0.98388159
8207.883,0.99494252,0.9233497,0.96983432,0.98365233
8214.346,0.99455089,0.92182941,0.96943163,0.98342243
8220.827,0.99388064,0.92030489,0.96902781,0.98319189
8227.329,0.99393805,0.91877543,0.96862269,0.98296061
8233.849,0.99336906,0.91724173,0.96821645,0.98272868
8240.388,0.99201381,0.91570357,0.96780902,0.98249608
8246.945,0.99186785,0.91416117,0.96740048,0.98226284
8253.522,0.99124157,0.91261407,0.96699068,0.98202888
8260.118,0.99145518,0.91106249,0.9665797,0.98179426
8266.733,0.99008455,0.90950645,0.96616754,0.98155895
